OBJECTID,ZCTA5,DDA_CODE,DDA_TYPE,DDA_NAME,Shape__Area,Shape__Length
2332,85338,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",283110498.644531,94013.7203225282
2333,90036,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",9305903.3125,13741.5763684179
2334,85339,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",959688285.558594,170426.635328956
2335,92120,METRO41740M41740,SA,"San Diego-Chula Vista-Carlsbad, CA MSA",28265917.8476563,32148.9241450014
2336,92121,METRO41740M41740,SA,"San Diego-Chula Vista-Carlsbad, CA MSA",46405170.9726563,42317.2286912573
2337,85747,METRO46060M46060,SA,"Tucson, AZ MSA",242675747.832031,123849.460140192
2338,92107,METRO41740M41740,SA,"San Diego-Chula Vista-Carlsbad, CA MSA",10865554.0195313,16894.5390335003
2339,85743,METRO46060M46060,SA,"Tucson, AZ MSA",430163446.039063,138437.082953006
2340,75019,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",67069456.5117188,43220.9204679023
2341,92108,METRO41740M41740,SA,"San Diego-Chula Vista-Carlsbad, CA MSA",16234725.6875,37387.1705611186
2342,85755,METRO46060M46060,SA,"Tucson, AZ MSA",123480777.585938,51371.6728629229
2343,90024,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",11218981.0585938,21952.0560158799
2344,75024,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",48299605.4375,37997.9492124334
2345,97026,METRO41420M41420,SA,"Salem, OR MSA",178007730.71875,113272.634380844
2346,85028,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",25593435.9296875,28949.4144337615
2347,86301,METRO39150M39150,SA,"Prescott Valley-Prescott, AZ MSA",130525605.71875,71765.3831592666
2348,76016,METRO19100MM2800,SA,"Fort Worth-Arlington, TX HUD Metro FMR Area",36142920.84375,30472.0244293832
2349,75025,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",35533791.9960938,34290.4493914342
2350,80516,METRO14500M14500,SA,"Boulder, CO MSA",26030668.78125,48938.1690612517
2351,80516,METRO19740M19740,SA,"Denver-Aurora-Centennial, CO MSA",16670410.671875,33934.8495809544
2352,80516,METRO24540M24540,SA,"Greeley, CO MSA",137265990.371094,89653.7454737887
2353,00976,METRO41980MM1310,SA,"Caguas, PR HUD Metro FMR Area",388376.44140625,12136.5187869985
2354,76018,METRO19100MM2800,SA,"Fort Worth-Arlington, TX HUD Metro FMR Area",28801504.6640625,28767.0496734661
2355,00957,METRO41980MM7440,SA,"San Juan-Guaynabo, PR HUD Metro FMR Area",12505028.9628906,31136.9204617598
2356,76039,METRO19100MM2800,SA,"Fort Worth-Arlington, TX HUD Metro FMR Area",23599167.8007813,20667.8474065932
2357,86314,METRO39150M39150,SA,"Prescott Valley-Prescott, AZ MSA",101869235.078125,58320.8033959858
2358,92339,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",298883631.871094,94676.0417454877
2359,86315,METRO39150M39150,SA,"Prescott Valley-Prescott, AZ MSA",339159978.535156,104534.519836363
2360,91105,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",16060689.8945313,26529.7563351862
2361,92342,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",381054089.128906,107178.224589705
2362,92320,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",52734690.6914063,44391.2193201851
2363,75181,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",63859754.9609375,42185.9775311731
2364,97389,METRO10540M10540,SA,"Albany, OR MSA",181534334.328125,93028.4242395429
2365,00961,METRO41980MM7440,SA,"San Juan-Guaynabo, PR HUD Metro FMR Area",15688788.1992188,22074.4479163881
2366,92344,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",143206935.296875,72033.3282986401
2367,75028,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",56455059.6835938,45721.0672865957
2368,75028,METRO19100MM2800,SA,"Fort Worth-Arlington, TX HUD Metro FMR Area",1263584.81640625,7602.1821931119
2369,86325,METRO39150M39150,SA,"Prescott Valley-Prescott, AZ MSA",236015181.542969,79411.6304218974
2370,85012,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",8416017.14453125,25900.12657128
2371,00966,METRO41980MM7440,SA,"San Juan-Guaynabo, PR HUD Metro FMR Area",7269817.50195313,21334.6079799778
2372,00968,METRO41980MM7440,SA,"San Juan-Guaynabo, PR HUD Metro FMR Area",1318849.921875,4439.37846075601
2373,86351,METRO39150M39150,SA,"Prescott Valley-Prescott, AZ MSA",153886570.300781,73995.6259017591
2374,90025,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",9679338.7890625,21341.9020491383
2375,97032,METRO41420M41420,SA,"Salem, OR MSA",60856109.1015625,68650.7581049471
2376,85024,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",44096731.5234375,47045.2097444868
2377,00603,METRO10380M10380,SA,"Aguadilla, PR MSA",99379330.3652344,56574.5656275249
2378,97034,METRO38900M38900,SA,"Portland-Vancouver-Hillsboro, OR-WA MSA",45018234.5546875,42091.4034125368
2379,89012,METRO29820M29820,SA,"Las Vegas-Henderson-North Las Vegas, NV MSA",42430426.8515625,34793.9424961524
