id,deal_number,status,classification,priority,address,city,state,zip,county,asking_price,size_acres,unit_count,yield_on_cost,qct_status,dda_status,oz_status,lihtc_score_total,product_types,analyst_notes,rejection_reason,deal_step,assigned_analyst,submission_method,broker_id,broker_name,broker_email,brokerage,created_at,updated_at
84ca7785-c735-402b-b48c-3c9ac56875c5,371,clear_no,red,medium,"Coordinates: 34.962616, -80.106426",,,,,,,,,YES,NO,NO,23,[],"","Property located in Anson County, NC is not within Catalyst's target acquisition markets. We are currently only acquiring in specific MSAs for Active Adult, BTR/Conventional Apartments, and Lot Development projects.",,Austin Blondell,analyst_quick_add,,,,,2026-06-29T20:14:49.764Z,2026-07-13T18:24:17.254Z
66b18d17-fd2b-48dd-83a4-d6d82e510175,356,clear_no,red,medium,1 Eastern Way,Durham,NC,27703,Wayne,,0.33,,,YES,NO,NO,57,[],"","Property located in Wayne County, NC is not within Catalyst's target acquisition markets. We are currently only acquiring in specific MSAs for Active Adult, BTR/Conventional Apartments, and Lot Development projects.",,Austin Blondell,analyst_quick_add,,,,,2026-06-24T16:27:41.506Z,2026-07-13T18:24:23.141Z
f49187c0-634f-4f9e-872d-61455b627be8,351,clear_no,red,medium,975 Ziglar Rd,Winston-Salem,NC,27105,Forsyth County,,20.83,,,NO,NO,NO,,[],"","Found 10 multifamily properties within 3 miles, but none meet our acquisition criteria (built 2020+ with 150+ units). The market here is composed of older or smaller assets that don't reflect institutional multifamily benchmarks.

Properties found nearby:
• Lofts at Mill Creek Apartments — 0.4 mi: built 1978 (need 2020+)
• Beltway Park at Winston — 0.5 mi: built 1984 (need 2020+), 78 units (need 150+)
• Abbington Gardens — 0.6 mi: built 2016 (need 2020+), 96 units (need 150+)
• Abbington Gardens of Winston-Salem — 0.6 mi: 96 units (need 150+)
• Mill Creek Flats — 1.2 mi: built 1984 (need 2020+)",,Austin Blondell,analyst_quick_add,,,,,2026-06-22T18:28:56.003Z,2026-07-20T19:02:43.943Z
0f88d5b8-d857-42fc-b41a-77a1556249c5,285,clear_no,red,medium,Parcel ID: 2103401008,,GA,,Savannah,,,,,N/A,NO,,,[],"","Property located in Savannah County, GA is not within Catalyst's target acquisition markets. We are currently only acquiring in specific MSAs for Active Adult, BTR/Conventional Apartments, and Lot Development projects.",,Austin Blondell,analyst_quick_add,,,,,2026-05-05T14:44:43.671Z,2026-07-13T18:25:30.253Z
8a926298-3cb3-435f-90d2-0e3abe755502,275,clear_no,red,medium,5315 SOARING EAGLE LN,mint hill,NC,28227,Mecklenburg County,,4.14,,,NO,NO,NO,,[],"","Found 5 multifamily properties within 3 miles, but none meet our acquisition criteria (built 2020+ with 150+ units). The market here is composed of older or smaller assets that don't reflect institutional multifamily benchmarks.

Properties found nearby:
• 4229 PEGGY LN — 0.8 mi: built 1967 (need 2020+), 5 units (need 150+)
• Holiday Willow Grove — 2.1 mi: built 2007 (need 2020+), 120 units (need 150+)
• 13931 Thompson Road — 2.1 mi: 6 units (need 150+)
• Album Matthews 55+ Active Adult Apartments — 2.3 mi: 128 units (need 150+)
• Residences at West Mint — 2.3 mi: built 1998 (need 2020+)",,Austin Blondell,analyst_quick_add,,,,,2026-04-28T20:29:12.460Z,2026-07-09T14:28:50.283Z
872096a3-c03d-42e7-92a8-73e23537bd20,274,under_review,green,1,1023 YORKMONT RD,CHARLOTTE,NC,28217,Mecklenburg County,,7.92,,3.95%,NO,NO,NO,,"[""aa-4-story-flats""]",Dorian to call owner to see if interested in selling.,,Initial UW,Austin Blondell,analyst_quick_add,,,,,2026-04-28T20:25:21.984Z,2026-07-13T17:30:54.708Z
a60ae596-dc11-4d48-b499-118a916be671,273,pending_review,unclassified,medium,5606 WILGROVE-MINT HILL RD,MINT HILL,NC,28227,Mecklenburg,,6.51,,,NO,NO,NO,,[],"",,,Austin Blondell,analyst_quick_add,,,,,2026-04-28T20:24:39.383Z,2026-07-09T14:29:29.286Z
c9a2a032-0507-48e4-8a70-b67bee8d6dd9,272,pending_review,unclassified,medium,5520 WILGROVE-MINT HILL RD,MINT HILL,NC,28227,Mecklenburg,,4.92,,,NO,NO,NO,,[],"",,,Austin Blondell,analyst_quick_add,,,,,2026-04-28T20:23:38.234Z,2026-07-08T18:34:42.580Z
be0857c8-15cc-40aa-acc3-0de2f4060029,271,clear_no,red,medium,8045 WILSON WOODS DR,MINT HILL,NC,28227,Mecklenburg County,,50.50,,,NO,NO,NO,,[],"","Found 1 comparable property meeting age/size criteria (2020+, 150+ units), but market rents don't support our $1.75/sqft minimum:

• Lemmond Farm: $1.47/sqft ($0.28 below minimum) — 2020 vintage, 336 units, 1.3 mi

Best market rent in this area is $1.47/sqft — $0.28/sqft short of our minimum. This gap would materially impact development economics.",,Austin Blondell,analyst_quick_add,,,,,2026-04-28T20:22:55.072Z,2026-07-06T17:50:33.245Z
caee3443-d1ba-4b7a-ba60-7bed0e387b00,270,clear_no,red,medium,10900 PINE GROVE AV,MINT HILL,NC,28227,Mecklenburg County,,29.84,,,NO,NO,NO,,[],"","Found 1 comparable property meeting age/size criteria (2020+, 150+ units), but market rents don't support our $1.75/sqft minimum:

• Lemmond Farm: $1.47/sqft ($0.28 below minimum) — 2020 vintage, 336 units, 0.8 mi

Best market rent in this area is $1.47/sqft — $0.28/sqft short of our minimum. This gap would materially impact development economics.",,Austin Blondell,analyst_quick_add,,,,,2026-04-28T20:21:51.687Z,2026-07-06T17:51:01.359Z
85cfda3c-9b78-4b2f-9d5b-733ddeaf52dc,269,pending_review,unclassified,medium,6200 WILGROVE-MINT HILL RD,MINT HILL,NC,28227,Mecklenburg County,,7.42,,,NO,NO,NO,,[],"",,,Austin Blondell,analyst_quick_add,,,,,2026-04-28T20:21:00.445Z,2026-07-06T17:51:24.089Z
c0bdd40a-6365-4a99-8036-65b5a392a1c3,265,under_review,yellow,medium,Parcel ID: 201-031-17,Huntersville,NC,,Mecklenburg,,,,4 Story AA - 3.42%,NO,NO,NO,,"[""aa-4-story-flats""]","",,,Austin Blondell,analyst_quick_add,,,,,2026-04-28T17:13:40.354Z,2026-07-13T17:29:23.107Z
276dfeb3-fa44-4c2c-ac54-65e2a4fae83e,246,under_review,red,medium,1 Medical Center Dr SW,Supply,NC,28462,Brunswick,,31.60,,,NO,NO,NO,,[],"",,,Austin Blondell,analyst_quick_add,,,,,2026-04-22T18:29:27.014Z,2026-07-13T18:25:39.712Z
ba5b7d22-3bb4-452a-9823-09e08b334fb4,221,clear_no,red,medium,5613 Clark Rd,Harrison,TN,37341,Hamilton,,,,,NO,NO,NO,,,,"Found 1 comparable property meeting age/size criteria (2020+, 150+ units), but market rents don't support our $1.75/sqft minimum:

• Anchor Point: $1.51/sqft ($0.24 below minimum) — 2024 vintage, 156 units, 1.0 mi

Best market rent in this area is $1.51/sqft — $0.24/sqft short of our minimum. This gap would materially impact development economics.",,Austin Blondell,email,,,,,2026-04-10T14:59:41.045Z,2026-06-25T17:49:43.995Z
5ec187b2-b427-48a1-a5c1-f2e812cb5a93,219,pending_review,unclassified,medium,0 Dutchtown Rd,Knoxville,TN,37932,Knox,,,,,NO,MDDA,NO,,,,,,Austin Blondell,email,,,,,2026-04-08T16:12:41.555Z,2026-07-01T17:34:34.561Z
3562974f-01cc-43c7-a68a-3ee7e8f3a641,218,clear_no,red,medium,5139 Spring Valley Dr,Grantham,NH,03753,Sullivan County,,,,,NO,NMDDA,NO,,,,"Property located in Sullivan County, NH is not within Catalyst's target acquisition markets. We are currently only acquiring in specific MSAs for Active Adult, BTR/Conventional Apartments, and Lot Development projects.",,Austin Blondell,email,,,,,2026-04-08T16:12:33.753Z,2026-07-01T17:35:36.566Z
b5ec4e61-0552-43c1-bbd4-6f6acf848563,9,clear_no,dead,medium,2201 Mechanic Street,Charlotte,NC,28205,Mecklenburg,40.00,25.25,,,NO,NO,NO,,,,"Found 12 multifamily properties within 3 miles, but none meet our criteria (built 2020+ with 150+ units). The properties in this area are older or smaller than our investment requirements.",,Austin Blondell,email,13ba281d-320c-4842-904c-41690ae59879,Aj Klenk,,,2025-12-11T20:45:07.776Z,2026-06-25T17:49:48.205Z
